
catalyst             |   7.1b / 11.5b  (62% full)  | 24.6 / 23 ( 72.2%) | 13.5s/growth (31 over 421s)
rho-construction     |  13.6b / 17.4b  (78% full)  | 19.5 / 17 ( 65.2%) | 9s/growth (44 over 396s)

n00dles              |   1.1m / 1.8m   (62% full)  | 1.1 / 1  (100.0%) | 0s/growth (3000 over 8s)
foodnstuff           |  50.0m / 50.0m  (100% full) | 3.0 / 3  (100.0%) | 1.6s/growth (5 over 8s)
sigma-cosmetics      |  57.5m / 57.5m  (100% full) | 3.0 / 3  (100.0%) | 0.8s/growth (10 over 8s)
joesguns             |  37.1m / 62.5m  (59% full)  | 5.2 / 5  (100.0%) | 0.5s/growth (20 over 10s)
nectar-net           |  68.8m / 68.8m  (100% full) | 10.1 / 7  (100.0%) | 0.6s/growth (25 over 16s)
hong-fang-tea        |  57.7m / 75.0m  (76% full)  | 10.5 / 5  (100.0%) | 1s/growth (20 over 21s)
harakiri-sushi       |  75.9m / 100.0m (75% full)  | 7.9 / 5  (100.0%) | 0.5s/growth (40 over 21s)
neo-net              | 125.0m / 125.0m (100% full) | 12.8 / 8  (100.0%) | 1.3s/growth (25 over 34s)
zer0                 |  74.0m / 187.5m (39% full)  | 8.2 / 8  (100.0%) | 0.8s/growth (40 over 33s)
max-hardware         |  95.7m / 250.0m (38% full)  | 5.6 / 5  (100.0%) | 0.8s/growth (30 over 26s)
iron-gym             | 103.2m / 500.0m (20% full)  | 10.0 / 10 (100.0%) | 2.4s/growth (20 over 49s)
phantasy             | 600.0m / 600.0m (100% full) | 7.0 / 7  (100.0%) | 1s/growth (35 over 37s)
crush-fitness        |   1.0b / 1.0b   (100% full) | 12.0 / 12 (100.0%) | 3.9s/growth (32 over 127s)
silver-helix         | 888.5m / 1.1b   (78% full)  | 10.0 / 10 (100.0%) | 2.3s/growth (30 over 70s)
omega-net            |   1.3b / 1.7b   (79% full)  | 13.5 / 11 (100.0%) | 4.1s/growth (30 over 124s)
johnson-ortho        |   1.4b / 1.8b   (79% full)  | 18.0 / 17 ( 98.5%) | 3.3s/growth (65 over 216s)
the-hub              |   3.0b / 4.9b   (62% full)  | 15.0 / 15 (100.0%) | 3.7s/growth (50 over 186s)
computek             |   4.5b / 5.6b   (80% full)  | 19.0 / 19 ( 88.9%) | 4.5s/growth (60 over 270s)
summit-uni           |   4.5b / 5.7b   (78% full)  | 20.8 / 19 ( 72.8%) | 7.4s/growth (50 over 374s)
rothman-uni          |   2.3b / 5.8b   (39% full)  | 16.0 / 16 ( 82.9%) | 6.5s/growth (41 over 267s)
millenium-fitness    |   6.3b / 6.3b   (100% full) | 19.5 / 16 ( 63.3%) | 9.2s/growth (44 over 408s)
aevum-police         |   5.3b / 6.7b   (78% full)  | 25.8 / 25 ( 71.8%) | 12.1s/growth (36 over 436s)
