34 | HACK | Diff: -14 | Finished: 54:06.990 | START: 52:39.026 | ATTEMPTED WAIT UNTIL: 53:45.006 | EXEC: 53:45.007
19 | WEAK | Diff: 44 | Finished: 54:06.991 | START: 52:38.883 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.883
40 | WEAK | Diff: 44 | Finished: 54:06.991 | START: 52:39.182 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:39.182
28 | WEAK | Diff: 48 | Finished: 54:06.999 | START: 52:38.966 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.966
20 | WEAK | Diff: 45 | Finished: 54:07.000 | START: 52:38.891 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.891
35 | HACK | Diff: -13 | Finished: 54:07.002 | START: 52:39.034 | ATTEMPTED WAIT UNTIL: 53:45.014 | EXEC: 53:45.018
17 | HACK | Diff: -76 | Finished: 54:07.003 | START: 52:38.861 | ATTEMPTED WAIT UNTIL: 53:45.019 | EXEC: 53:45.023
29 | WEAK | Diff: 41 | Finished: 54:07.004 | START: 52:38.978 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.978
21 | WEAK | Diff: 41 | Finished: 54:07.005 | START: 52:38.900 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.900
30 | WEAK | Diff: 35 | Finished: 54:07.006 | START: 52:38.986 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.986
36 | HACK | Diff: -25 | Finished: 54:07.006 | START: 52:39.074 | ATTEMPTED WAIT UNTIL: 53:45.029 | EXEC: 53:45.034
22 | WEAK | Diff: 33 | Finished: 54:07.007 | START: 52:38.910 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.910
31 | WEAK | Diff: 28 | Finished: 54:07.008 | START: 52:38.995 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.995
23 | WEAK | Diff: 27 | Finished: 54:07.009 | START: 52:38.918 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.918
32 | WEAK | Diff: 23 | Finished: 54:07.018 | START: 52:39.010 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:39.010
33 | WEAK | Diff: 16 | Finished: 54:07.019 | START: 52:39.018 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:39.018
15 | HACK | Diff: -115 | Finished: 54:07.035 | START: 52:38.842 | ATTEMPTED WAIT UNTIL: 53:45.068 | EXEC: 53:45.071
34 | WEAK | Diff: 24 | Finished: 54:07.035 | START: 52:39.026 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:39.026
35 | WEAK | Diff: 25 | Finished: 54:07.044 | START: 52:39.034 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:39.034
16 | HACK | Diff: -117 | Finished: 54:07.044 | START: 52:38.851 | ATTEMPTED WAIT UNTIL: 53:45.077 | EXEC: 53:45.082
36 | WEAK | Diff: 14 | Finished: 54:07.073 | START: 52:39.074 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:39.074
17 | WEAK | Diff: 5 | Finished: 54:07.089 | START: 52:38.861 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.861
15 | WEAK | Diff: 19 | Finished: 54:07.174 | START: 52:38.841 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.841
16 | WEAK | Diff: 10 | Finished: 54:07.175 | START: 52:38.851 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.851
14 | HACK | Diff: -284 | Finished: 54:07.424 | START: 52:38.830 | ATTEMPTED WAIT UNTIL: 53:45.485 | EXEC: 53:45.486
14 | WEAK | Diff: 3 | Finished: 54:07.719 | START: 52:38.830 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.830
13 | HACK | Diff: -398 | Finished: 54:07.768 | START: 52:38.821 | ATTEMPTED WAIT UNTIL: 53:45.825 | EXEC: 53:45.828
13 | WEAK | Diff: 1 | Finished: 54:08.174 | START: 52:38.821 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 52:38.821
45 | GROW | Diff: -250 | Finished: 55:30.501 | START: 54:07.027 | ATTEMPTED WAIT UNTIL: 54:23.757 | EXEC: 54:23.762
46 | GROW | Diff: -183 | Finished: 55:30.519 | START: 54:07.072 | ATTEMPTED WAIT UNTIL: 54:23.781 | EXEC: 54:23.781
47 | GROW | Diff: -147 | Finished: 55:30.543 | START: 54:07.089 | ATTEMPTED WAIT UNTIL: 54:23.798 | EXEC: 54:23.804
48 | GROW | Diff: -125 | Finished: 55:30.544 | START: 54:07.098 | ATTEMPTED WAIT UNTIL: 54:23.800 | EXEC: 54:23.805
49 | GROW | Diff: -126 | Finished: 55:30.551 | START: 54:07.109 | ATTEMPTED WAIT UNTIL: 54:23.811 | EXEC: 54:23.813
44 | GROW | Diff: -585 | Finished: 55:30.552 | START: 54:06.999 | ATTEMPTED WAIT UNTIL: 54:23.814 | EXEC: 54:23.815
50 | GROW | Diff: -127 | Finished: 55:30.559 | START: 54:07.118 | ATTEMPTED WAIT UNTIL: 54:23.820 | EXEC: 54:23.822
51 | GROW | Diff: -126 | Finished: 55:30.569 | START: 54:07.128 | ATTEMPTED WAIT UNTIL: 54:23.831 | EXEC: 54:23.831
41 | GROW | Diff: -1078 | Finished: 55:30.570 | START: 54:06.889 | ATTEMPTED WAIT UNTIL: 54:23.828 | EXEC: 54:23.833
42 | GROW | Diff: -1065 | Finished: 55:30.578 | START: 54:06.898 | ATTEMPTED WAIT UNTIL: 54:23.835 | EXEC: 54:23.839
52 | GROW | Diff: -126 | Finished: 55:30.582 | START: 54:07.137 | ATTEMPTED WAIT UNTIL: 54:23.839 | EXEC: 54:23.844
53 | GROW | Diff: -126 | Finished: 55:30.588 | START: 54:07.145 | ATTEMPTED WAIT UNTIL: 54:23.848 | EXEC: 54:23.850
54 | GROW | Diff: -122 | Finished: 55:30.602 | START: 54:07.168 | ATTEMPTED WAIT UNTIL: 54:23.857 | EXEC: 54:23.860
55 | GROW | Diff: -56 | Finished: 55:30.604 | START: 54:07.184 | ATTEMPTED WAIT UNTIL: 54:23.865 | EXEC: 54:23.865
43 | GROW | Diff: -1066 | Finished: 55:30.620 | START: 54:06.944 | ATTEMPTED WAIT UNTIL: 54:23.876 | EXEC: 54:23.882
48 | HACK | Diff: -42 | Finished: 55:30.628 | START: 54:07.098 | ATTEMPTED WAIT UNTIL: 55:09.774 | EXEC: 55:09.775
56 | GROW | Diff: -58 | Finished: 55:30.641 | START: 54:07.218 | ATTEMPTED WAIT UNTIL: 54:23.904 | EXEC: 54:23.904
49 | HACK | Diff: -42 | Finished: 55:30.642 | START: 54:07.109 | ATTEMPTED WAIT UNTIL: 55:09.785 | EXEC: 55:09.789
47 | HACK | Diff: -49 | Finished: 55:30.642 | START: 54:07.089 | ATTEMPTED WAIT UNTIL: 55:09.787 | EXEC: 55:09.789
55 | HACK | Diff: -20 | Finished: 55:30.646 | START: 54:07.184 | ATTEMPTED WAIT UNTIL: 55:09.791 | EXEC: 55:09.792
50 | HACK | Diff: -42 | Finished: 55:30.656 | START: 54:07.118 | ATTEMPTED WAIT UNTIL: 55:09.794 | EXEC: 55:09.803
46 | HACK | Diff: -59 | Finished: 55:30.657 | START: 54:07.072 | ATTEMPTED WAIT UNTIL: 55:09.794 | EXEC: 55:09.803
57 | GROW | Diff: -56 | Finished: 55:30.658 | START: 54:07.232 | ATTEMPTED WAIT UNTIL: 54:23.916 | EXEC: 54:23.919
51 | HACK | Diff: -41 | Finished: 55:30.661 | START: 54:07.128 | ATTEMPTED WAIT UNTIL: 55:09.805 | EXEC: 55:09.807
52 | HACK | Diff: -43 | Finished: 55:30.665 | START: 54:07.137 | ATTEMPTED WAIT UNTIL: 55:09.813 | EXEC: 55:09.813
58 | GROW | Diff: -57 | Finished: 55:30.670 | START: 54:07.240 | ATTEMPTED WAIT UNTIL: 54:23.926 | EXEC: 54:23.932
45 | HACK | Diff: -80 | Finished: 55:30.671 | START: 54:07.027 | ATTEMPTED WAIT UNTIL: 55:09.817 | EXEC: 55:09.817
59 | GROW | Diff: -57 | Finished: 55:30.674 | START: 54:07.249 | ATTEMPTED WAIT UNTIL: 54:23.935 | EXEC: 54:23.936
53 | HACK | Diff: -42 | Finished: 55:30.675 | START: 54:07.145 | ATTEMPTED WAIT UNTIL: 55:09.822 | EXEC: 55:09.822
48 | WEAK | Diff: 0 | Finished: 55:30.677 | START: 54:07.098 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 54:07.098
55 | WEAK | Diff: 0 | Finished: 55:30.678 | START: 54:07.184 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 54:07.184
