38 | GROW | Diff: 7 | Finished: 50:03.102 | START: 49:44.451 | ATTEMPTED WAIT UNTIL: 49:48.124 | EXEC: 49:48.129
38 | WEAK | Diff: 7 | Finished: 50:03.107 | START: 49:44.393 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 49:44.393
39 | HACK | Diff: 1 | Finished: 50:10.330 | START: 49:51.752 | ATTEMPTED WAIT UNTIL: 50:05.652 | EXEC: 50:05.652
39 | GROW | Diff: 7 | Finished: 50:10.331 | START: 49:51.687 | ATTEMPTED WAIT UNTIL: 49:55.358 | EXEC: 49:55.358
39 | WEAK | Diff: 6 | Finished: 50:10.341 | START: 49:51.628 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 49:51.628
40 | HACK | Diff: 5 | Finished: 50:19.550 | START: 50:00.971 | ATTEMPTED WAIT UNTIL: 50:14.869 | EXEC: 50:14.873
40 | GROW | Diff: 11 | Finished: 50:19.551 | START: 50:00.915 | ATTEMPTED WAIT UNTIL: 50:04.587 | EXEC: 50:04.591
40 | WEAK | Diff: 8 | Finished: 50:19.554 | START: 50:00.859 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 50:00.859
41 | HACK | Diff: 5 | Finished: 50:19.721 | START: 50:01.144 | ATTEMPTED WAIT UNTIL: 50:15.041 | EXEC: 50:15.044
41 | GROW | Diff: 9 | Finished: 50:19.721 | START: 50:01.092 | ATTEMPTED WAIT UNTIL: 50:04.759 | EXEC: 50:04.763
41 | WEAK | Diff: 3 | Finished: 50:19.722 | START: 50:01.032 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 50:01.032
42 | HACK | Diff: 4 | Finished: 50:20.897 | START: 50:02.319 | ATTEMPTED WAIT UNTIL: 50:16.219 | EXEC: 50:16.221
42 | GROW | Diff: 12 | Finished: 50:20.900 | START: 50:02.266 | ATTEMPTED WAIT UNTIL: 50:05.937 | EXEC: 50:05.939
42 | WEAK | Diff: 5 | Finished: 50:20.901 | START: 50:02.209 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 50:02.209
43 | HACK | Diff: 5 | Finished: 50:22.071 | START: 50:03.496 | ATTEMPTED WAIT UNTIL: 50:17.394 | EXEC: 50:17.394
43 | GROW | Diff: 7 | Finished: 50:22.071 | START: 50:03.443 | ATTEMPTED WAIT UNTIL: 50:07.112 | EXEC: 50:07.115
43 | WEAK | Diff: 8 | Finished: 50:22.079 | START: 50:03.384 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 50:03.384
44 | GROW | Diff: -9 | Finished: 50:29.273 | START: 50:10.661 | ATTEMPTED WAIT UNTIL: 50:14.329 | EXEC: 50:14.333
44 | HACK | Diff: -5 | Finished: 50:29.278 | START: 50:10.719 | ATTEMPTED WAIT UNTIL: 50:24.611 | EXEC: 50:24.611
44 | WEAK | Diff: 5 | Finished: 50:29.293 | START: 50:10.601 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 50:10.601
45 | GROW | Diff: -9 | Finished: 50:29.446 | START: 50:10.840 | ATTEMPTED WAIT UNTIL: 50:14.506 | EXEC: 50:14.506
45 | HACK | Diff: -4 | Finished: 50:29.457 | START: 50:10.905 | ATTEMPTED WAIT UNTIL: 50:24.788 | EXEC: 50:24.789
45 | WEAK | Diff: 4 | Finished: 50:29.469 | START: 50:10.778 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 50:10.778
46 | GROW | Diff: 9 | Finished: 50:38.694 | START: 50:20.106 | ATTEMPTED WAIT UNTIL: 50:23.766 | EXEC: 50:23.768
46 | HACK | Diff: 5 | Finished: 50:38.696 | START: 50:20.165 | ATTEMPTED WAIT UNTIL: 50:34.026 | EXEC: 50:34.029
46 | WEAK | Diff: 3 | Finished: 50:38.697 | START: 50:20.048 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 50:20.048
47 | GROW | Diff: 9 | Finished: 50:39.880 | START: 50:21.290 | ATTEMPTED WAIT UNTIL: 50:24.950 | EXEC: 50:24.954
47 | HACK | Diff: 8 | Finished: 50:39.883 | START: 50:21.347 | ATTEMPTED WAIT UNTIL: 50:35.210 | EXEC: 50:35.213
47 | WEAK | Diff: 8 | Finished: 50:39.886 | START: 50:21.232 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 50:21.232
48 | GROW | Diff: 11 | Finished: 50:40.050 | START: 50:21.463 | ATTEMPTED WAIT UNTIL: 50:25.122 | EXEC: 50:25.122
48 | HACK | Diff: 4 | Finished: 50:40.052 | START: 50:21.520 | ATTEMPTED WAIT UNTIL: 50:35.382 | EXEC: 50:35.386
48 | WEAK | Diff: 6 | Finished: 50:40.056 | START: 50:21.404 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 50:21.404
49 | GROW | Diff: 7 | Finished: 50:48.297 | START: 50:29.711 | ATTEMPTED WAIT UNTIL: 50:33.370 | EXEC: 50:33.373
49 | HACK | Diff: 6 | Finished: 50:48.301 | START: 50:29.771 | ATTEMPTED WAIT UNTIL: 50:43.630 | EXEC: 50:43.633
49 | WEAK | Diff: 5 | Finished: 50:48.302 | START: 50:29.651 | ATTEMPTED WAIT UNTIL: 00:00.000 | EXEC: 50:29.651
50 | GROW | Diff: 7 | Finished: 50:48.474 | START: 50:29.885 | ATTEMPTED WAIT UNTIL: 50:33.548 | EXEC: 50:33.550
